ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Entrepreneurship,,FOUND
2,Liberal Arts Education,,FOUND
3,Creativity,,FOUND
4,Innovation,3,FOUND
5,Problem Solving,3,FOUND
6,Critical Thinking,5,FOUND
7,Growth Mindset,,FOUND
8,Risk Tolerance,7,FOUND
9,Resilience,7|8,FOUND
10,Self-Awareness,7,FOUND
11,Motivation,10,FOUND
12,Curiosity,,FOUND
13,Ethical Reasoning,6,FOUND
14,Communication Skills,,FOUND
15,Collaboration,14,FOUND
16,Ikigai,1|10,IKIH
17,Reason for Being,16,IKIH
18,What You Love,10|12,IKIH
19,What You Are Good At,10|27,IKIH
20,What the World Needs,12|13,IKIH
21,What You Can Be Paid For,1,IKIH
22,Passion Intersection,16|18|19,IKIH
23,Mission Intersection,16|18|20,IKIH
24,Vocation Intersection,16|19|20,IKIH
25,Profession Intersection,16|19|21,IKIH
26,Ikigai Venn Diagram,22|23|24|25,IKIH
27,Personal Values Assessment,10,IKIH
28,Strength Identification,19|27,IKIH
29,Purpose Discovery,17|23,IKIH
30,Personal Brand,28|29,IKIH
31,Ideation,3|12,IDEA
32,Brainstorming,31,IDEA
33,Cross-Disciplinary Creativity,2|3,IDEA
34,SCAMPER Method,31|32,IDEA
35,Design Thinking,5|31,IDEA
36,User Empathy Mapping,35,IDEA
37,Random Association Technique,12|31,IDEA
38,Problem Inversion,5|31,IDEA
39,Observation Skills,12,IDEA
40,Music as Idea Source,2|33,IDEA
41,Visual Arts as Idea Source,2|33,IDEA
42,Theater as Idea Source,2|33,IDEA
43,Science as Idea Source,2|33,IDEA
44,Humanities as Idea Source,2|33,IDEA
45,Creative Confidence,3|7|31,IDEA
46,Idea Capture,31,IDEA
47,Divergent Thinking,3|31,IDEA
48,Convergent Thinking,6|47,IDEA
49,Prototyping Mindset,35|45,IDEA
50,Liberal Arts Advantage,2|33,IDEA
51,Opportunity vs. Idea,1|31,OPP
52,Customer Pain Points,36|39,OPP
53,Underserved Markets,51|52,OPP
54,Social Gaps,13|20|52,OPP
55,Trend Analysis,6|39,OPP
56,Demographic Shifts,55,OPP
57,Technology Waves,55,OPP
58,Cultural Movements,55,OPP
59,Regulatory Changes,13|55,OPP
60,Opportunity Evaluation Matrix,51|55,OPP
61,Market Research,51,OPP
62,Primary Research,61,OPP
63,Secondary Research,61,OPP
64,Problem-Solution Fit,51|52,OPP
65,Market Need Validation,61|64,OPP
66,Value Proposition,64,VALC
67,Value Proposition Canvas,66|70|71|72|73,VALC
68,Customer Segments,61,VALC
69,Customer Jobs,68,VALC
70,Customer Pains,52|68,VALC
71,Customer Gains,68|69,VALC
72,Pain Relievers,66|70,VALC
73,Gain Creators,66|71,VALC
74,Features vs. Benefits,66,VALC
75,The Mom Test,76,VALC
